#TYPE System.Management.Automation.PSCustomObject
"Hostname","OS Version","AD Status"
"L-DAL-GONEAL.STO.COM",,"False"
"L-LFD-AROES1979.STO.COM",,"Could not find object."
"L-LFD-BMALC1980.STO.COM",,"Could not find object."
"L-DAL-ARIELA3.STO.COM",,"Could not find object."
"L-DAL-CCOPE2.STO.COM",,"Could not find object."
"L-DAL-DSADDLER2.STO.COM",,"False"
"L-DAL-MASSEFA1.STO.COM",,"False"
"L-LFD-BLEPPO-VM.STO.COM",,"Could not find object."
"L-DAL-LROMO1.STO.COM",,"False"
"L-LFD-JAMIC1973.STO.COM",,"Could not find object."
"L-LFD-TAG1974.STO.COM",,"Could not find object."
"L-LFD-DCOOK1909.STO.COM",,"Could not find object."
"L-LFD-LWOO-1971.STO.COM",,"Could not find object."
"L-DAL-MCWHORTER.STO.COM",,"False"
"L-DAL-ABLACKWELL1.STO.COM",,"Could not find object."
"TAG1970.STO.COM",,"Could not find object."
"TAG1969.STO.COM",,"Could not find object."
"TAG1919A.STO.COM",,"Could not find object."
"L-SAN-CHANDLER3.STO.COM",,"False"
"SCHEDULINGVM-AS.STO.COM",,"False"
"TAG1956.STO.COM",,"Could not find object."
"TAG1953.STO.COM",,"Could not find object."
"TAG1951.STO.COM",,"Could not find object."
"TAG1955.STO.COM",,"Could not find object."
"TAG1947.STO.COM",,"Could not find object."
"TAG1937.STO.COM",,"Could not find object."
"TAG1941.STO.COM",,"Could not find object."
"TAG1933.STO.COM",,"Could not find object."
"L-DAL-DGONZALEZ.STO.COM",,"False"
"L-DAL-GDANIEL1.STO.COM",,"False"
"TAG1931.STO.COM",,"Could not find object."
"TAG1928.STO.COM",,"Could not find object."
"TAG1929.STO.COM",,"Could not find object."
"STSW-PBX1.STO.COM",,"False"
"L-LFD-JMAZZ1926.STO.COM",,"Could not find object."
"TAG1922.STO.COM",,"Could not find object."
"TAG1918.STO.COM",,"Could not find object."
"TAG1917.STO.COM",,"Could not find object."
"L-DAL-CKIMBALL.STO.COM",,"False"
"L-SAN-SSIMPSON.STO.COM",,"False"
"L-DAL-TGRAY.STO.COM",,"False"
"TAG1915.STO.COM",,"Could not find object."
"TAG1914.STO.COM",,"Could not find object."
"TAG1913.STO.COM",,"Could not find object."
